username,followers,following
halliedaily,399145,826
hammond_robin,193070,2000
hannes_becker,1871929,816
hapatime,673321,685
hawkeyehuey,161135,89
hayden_williams,1194427,327
heidimakeupartist,104,2
helenblandino,186621,1257
helloemilie,1358035,873
hillaryoff,2044977,431
hosico_cat,1872159,327
hotdudesreading,1230643,0
hotelsandresorts,1757329,808
leaders,948,57
hudabeauty,54172755,1353
humansofny,12953173,399
iamamypham,298571,1074
iamgalla,1761270,1166
iartos,476392,50
ibrahimgi,0,0
icandyfitbeauty,210350,1167
iconize,486530,2058
idalaerke,387223,1372
idawarg,294551,699
ideas_tatoo,206715,566
ifuckinglovewatches,1050578,955
igorszucs,93452,0
ig_pups,1335,3
indian_wedding_inspiration,248783,79
ines_arroyo,315480,2241
ingridnilsen,1083856,463
insideweddings,454031,83
instagrafite,885592,2477
instasurreal,1469487,54
interiorwife,186015,1630
ipaniza,914227,1268
irablockphoto,327078,424
ireneisgood,2891255,548
irinahp,630381,959
isnathan,2521,18
itscaroo,273249,474
itslydboss,1207045,874
iuriebelegurschi,999411,5530
ivankphoto,156152,2210
izkiz,2753636,149
hannah,247413,499
jacob,1111046,1757
jacobauesobolnew,127906,503
jadeywadey180,1192703,6479
jai_nice,2522124,439
jamesalexanderellis,231791,801
jamesgunn,2742494,427
janicejoostemaa,1366971,873
janinauhse,728108,765
jannid,1212836,270
jannikobenhoff,689814,463
jaredwhitney,103369,1124
official,239879,405
jasoncharleshill,557031,911
javierrrey,524064,876
jayalvarrez,8487119,452
jaydepierce,879091,505
jeffmackdesigns,904937,933
jenselter,14018539,804
jessiejamesdecker,4343307,987
jessiekass,330988,1671
jestemzolza,47,5
jimrichardsonng,437885,1433
jiordyn,573225,315
jldrae,1700,1
jn,538129,954
joannagaines,13809753,1002
joannakuchta,952183,1078
joelsartore,1692021,411
joemcnallyphoto,247062,1610
johannaeolsson,521749,1394
johnstanmeyer,365793,1525
jonanwiergo,638047,2003
jonathan_irish,208259,2639
joselyncano,12329465,1
juanjaramilloe,6822977,1369
jujujuxiaowen,1018463,1849
juliahengel,831,0
justhanni,173485,850
kardinalmelon,1093545,44
karinalarrauri,402972,2135
karina_nigay,2995873,1393
kateclapp,10203258,381
katerina_perez,438157,905
katia_mi_,647380,634
katya_mtsitouridze,2228847,305
kat_in_nyc,1406310,400
kayla_itsines,16049291,1101
keenanpearce,679092,1195
keiyamazaki,448436,230
kelsrfloyd,863254,912
kenzas,1822477,217
kerrently,327698,3086
kerriehessillustration,341934,1365
kessara,253316,691
kewiki,146239,779
khivju,3321881,863
kickposters,148480,1459
kilianjornet,1555142,818
kinoyoga,1144504,1136
kirstenalana,189638,2640
kirstenzellers,147493,294
kitkat_ch,278394,715
kochifaraj,810778,2098
konaction,188818,493
konservatif,279294,912
kosta_williams,1106447,130
kpunkka,1278923,663
kristinabazan,2669249,2811
kthegroove,135,8
kyrenian,1234338,344
ladyaddict,392871,1721
ladzinski,1713701,1848
landonnordeman,149137,3060
lane_toran,122557,272
lasselom,651812,526
latifitness,198658,960
laurenepbath,371723,2632
laurensimpson,1924074,1740
lavicvic,517006,913
leighannsays,271985,2625
lennart,482740,1834
levijfoster,190500,2536
le_blanc,239591,477
libesona,372385,1975
lilymaymac,3599773,984
linatesch,581062,457
linda_lomelino,758657,974
lioninthewild,244971,1302
lipstickfables,1031497,1813
lisahyde_,113015,2060
littlelizziev,706146,370
livemontreal,206124,907
livingitrural,184803,129
livingonearth,1440732,412
lizaonair,1218724,0
local_milk,1050,1
lojain_omran,11714696,777
louisdarcis,251521,1163
louteasdale,5885810,1274
loveandlemons,666295,1186
lovelypepa,110694,1
luanasilva,586898,955
lucamacellaripalmieri,192071,2436
luckybsmith,2902163,481
lumadeline,1557284,597
luxurybridalblogger,204793,2319
lyzabethlopez,1559877,1486
maaren_xx,3114,402
macenzo,398427,690
madds,413131,1625
madwhips_bimmer,243059,65
m_eye_nd,331373,260
